order_by_month,total_sales,Total_customers,Total_quantity
2010-Dec,43419,14,14
2011-Apr,502042,157,157
2011-Aug,614516,193,193
2011-Dec,669395,222,222
2011-Feb,466307,144,144
2011-Jan,469795,144,144
2011-Jul,596710,188,188
2011-Jun,737793,230,230
2011-Mar,485165,150,150
2011-May,561647,174,174
2011-Nov,660507,208,208
2011-Oct,708164,221,221
2011-Sep,603047,185,185
2012-Apr,400324,219,219
2012-Aug,523887,294,294
2012-Dec,624454,354,483
2012-Feb,506992,260,260
2012-Jan,495363,252,252
2012-Jul,444533,246,246
2012-Jun,555142,318,318
2012-Mar,373478,212,212
2012-May,358866,207,207
2012-Nov,537918,324,324
2012-Oct,535125,313,313
2012-Sep,486149,269,269
2013-Apr,1045860,1564,3979
2013-Aug,1545910,1898,4848
2013-Dec,1874128,2133,5520
2013-Feb,771218,1373,3454
2013-Jan,857758,627,1677
2013-Jul,1371595,1796,4673
2013-Jun,1642948,1948,5025
2013-Mar,1049732,1631,4087
2013-May,1284456,1719,4400
2013-Nov,1780688,2036,5224
2013-Oct,1673261,2073,5304
2013-Sep,1447324,1832,4616
2014-Jan,45642,834,1970
